	x_coord	y_coord
Landmark_0	1112.133	594.759
Landmark_1	1505.6909999999998	103.91699999999999
Landmark_2	2144.67	634.5569999999999
Landmark_3	2115.9269999999997	1198.3619999999999
Landmark_4	1808.598	950.7299999999999
Landmark_5	1324.389	1499.058
Landmark_6	1107.711	1315.5449999999998
Landmark_7	873.3449999999999	1496.847
Landmark_8	406.82399999999996	933.0419999999999
Landmark_9	90.651	1178.463
Landmark_10	72.963	605.814
Landmark_11	729.63	99.49499999999999
Landmark_12	643.401	614.658
Landmark_13	1549.9109999999998	583.704
